,idno,agea,rlgdgr,polintr,sclmeet,happy,cntry,nwspol,pplfair,health,atchctr,aesfdrk,dscrgrp,pray,hhmmb,gndr,impdiffa,impfuna,impsafea,iphlppla,ipsucesa,enjlf,fltdpr,fltlnl,slprl,dosprt,cgtsmok,alcfreq,height,weighta,fnsdfml,cnfpplh,paccnt,emplrel,hincfel,uempla,actrolga,cptppola,trstprl,trstlgl,trstplc,trstplt,vote,stfeco,stfdem,stfedu
6574,57452,77.0,3.0,4.0,6.0,7.0,DE,10.0,6.0,2.0,7.0,2.0,1.0,7.0,1.0,1,5.0,5.0,2.0,2.0,5.0,4.0,1.0,2.0,1.0,7.0,4.0,3.0,170.0,70.0,4.0,4.0,1.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0,2.0
6575,57456,51.0,2.0,1.0,6.0,10.0,DE,60.0,8.0,4.0,10.0,1.0,0.0,7.0,4.0,1,1.0,2.0,6.0,2.0,4.0,4.0,1.0,1.0,1.0,7.0,6.0,7.0,183.0,116.0,4.0,3.0,1.0,1.0,1.0,0.0,4.0,5.0,9.0,10.0,8.0,7.0,1.0,7.0,8.0,3.0
6577,57469,77.0,3.0,2.0,6.0,9.0,DE,150.0,5.0,1.0,7.0,2.0,0.0,7.0,2.0,1,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,7.0,6.0,7.0,165.0,67.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,3.0,6.0,7.0,8.0,7.0,1.0,10.0,6.0,5.0
6578,57477,69.0,0.0,1.0,4.0,9.0,DE,60.0,5.0,2.0,7.0,1.0,0.0,7.0,2.0,1,5.0,3.0,2.0,2.0,5.0,4.0,1.0,1.0,2.0,0.0,4.0,3.0,172.0,82.0,4.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,7.0,7.0,3.0,1.0,3.0,2.0,2.0
6580,57516,47.0,7.0,2.0,6.0,8.0,DE,60.0,8.0,3.0,7.0,2.0,0.0,7.0,4.0,1,3.0,3.0,4.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,6.0,3.0,184.0,90.0,3.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,7.0,9.0,8.0,6.0,1.0,7.0,7.0,4.0
6581,57521,68.0,5.0,2.0,6.0,9.0,DE,1170.0,9.0,1.0,9.0,1.0,0.0,7.0,1.0,1,4.0,5.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,5.0,2.0,182.0,69.0,5.0,3.0,1.0,1.0,2.0,0.0,2.0,3.0,8.0,7.0,9.0,8.0,1.0,7.0,8.0,6.0
6582,57536,25.0,0.0,2.0,6.0,9.0,DE,875.0,8.0,1.0,7.0,3.0,0.0,7.0,4.0,0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,5.0,167.0,70.0,4.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,7.0,6.0,6.0,5.0,1.0,4.0,5.0,3.0
6584,57546,38.0,5.0,2.0,4.0,3.0,DE,30.0,8.0,4.0,8.0,2.0,0.0,6.0,3.0,1,6.0,5.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,5.0,4.0,170.0,85.0,3.0,5.0,0.0,2.0,1.0,0.0,2.0,2.0,3.0,7.0,9.0,2.0,1.0,4.0,5.0,4.0
6585,57559,26.0,0.0,3.0,6.0,8.0,DE,1020.0,9.0,2.0,9.0,2.0,0.0,7.0,3.0,1,5.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,5.0,4.0,174.0,66.0,5.0,4.0,1.0,1.0,1.0,0.0,2.0,3.0,7.0,7.0,8.0,5.0,1.0,4.0,6.0,3.0
6587,57569,85.0,5.0,2.0,5.0,9.0,DE,90.0,8.0,3.0,10.0,2.0,0.0,7.0,2.0,1,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,7.0,6.0,7.0,172.0,81.0,4.0,4.0,1.0,1.0,2.0,0.0,3.0,3.0,5.0,8.0,9.0,3.0,1.0,7.0,8.0,2.0
